2;3310.39;10.40;1366.31;big
2;3356.19;11.00;1381.09;big
2;3351.57;10.40;1352.26;big
2;3392.47;10.00;1355.28;big
2;3411.56;10.20;1339.55;big
2;3428.79;9.70;1324.81;small
2;3328.24;10.00;1404.90;small
2;3387.98;10.00;1396.63;big
29;3194.82;15.30;1316.72;big
29;3233.22;12.10;1320.38;big
29;3270.62;10.00;1335.81;big
29;3314.72;11.00;1314.15;big
29;3275.99;10.00;1290.99;big
30;3110.15;10.00;1365.07;big
30;3146.76;10.30;1381.96;big
30;3178.55;10.70;1395.56;big
30;3199.87;10.10;1355.53;big
30;3152.52;9.80;1347.15;big
31;3048.35;17.90;1473.49;big
31;3082.74;17.30;1473.09;big
31;3117.71;16.50;1472.82;big
31;3143.38;13.50;1485.80;big
31;3173.90;11.00;1472.45;big
31;3141.21;10.00;1439.87;big
31;3187.94;10.00;1441.56;big
31;3124.04;10.00;1408.00;big
32;3224.21;10.00;1431.88;big
32;3220.20;10.10;1394.77;big
32;3245.99;10.00;1372.67;big
32;3274.57;10.00;1386.14;big
32;3289.42;10.00;1404.06;big
32;3250.69;10.10;1409.49;big
33;3213.45;13.00;1487.85;big
33;3268.14;10.00;1496.42;big
33;3253.57;10.70;1459.27;big
33;3299.44;10.00;1465.16;big
33;3321.99;10.00;1434.35;big
33;3364.80;10.00;1450.41;big
33;3353.64;10.00;1420.96;big
34;3304.50;11.20;1504.04;big
34;3340.87;10.00;1506.22;big
34;3331.77;11.60;1539.31;big
34;3370.92;10.30;1538.19;big
34;3406.94;10.00;1550.04;big
34;3446.54;10.10;1559.44;big
34;3432.93;10.80;1512.79;big
35;3360.73;10.00;1312.11;big
35;3409.84;10.20;1305.94;big
35;3362.83;10.00;1279.46;big
35;3406.19;10.00;1278.58;big
35;3383.73;9.80;1257.92;big
36;3276.29;10.20;1260.15;big
36;3320.08;10.10;1279.74;big
36;3319.76;10.40;1255.07;big
38;2952.75;9.70;711.13;big
38;2982.00;10.30;718.89;big
38;3004.33;10.20;745.37;big
38;2975.58;10.40;747.14;small
38;2986.04;9.70;693.93;small
38;3012.83;10.00;686.05;small
39;2892.57;10.00;751.81;big
39;2955.54;10.80;763.73;big
39;2923.22;9.70;723.59;small
40;3063.13;10.10;774.76;big
40;3048.88;10.20;742.94;big
40;3045.80;9.70;712.60;big
40;3096.30;9.70;726.64;big
40;3076.79;9.70;693.06;small
41;3009.82;11.00;776.60;big
41;2951.04;10.00;807.28;big
41;3033.79;11.00;803.94;big
41;3001.69;11.90;829.34;big
41;3036.58;10.50;851.33;big
42;3100.72;10.30;848.36;big
42;3117.75;10.30;797.22;big
42;3079.43;9.80;810.46;big
42;3158.62;10.40;803.61;big
42;3189.11;10.10;817.05;big
42;3120.93;9.70;759.45;small
43;3162.68;10.10;912.43;big
43;3165.44;10.40;878.66;big
43;3200.65;10.20;852.95;big
44;3178.08;10.00;981.67;big
44;3144.16;10.00;1003.50;big
44;3154.42;10.20;964.67;big
44;3208.81;10.00;937.76;small
45;2990.87;13.80;937.51;big
45;2995.60;20.50;895.81;big
45;3045.49;12.30;930.12;big
45;3043.21;11.40;897.99;big
45;3094.84;11.80;929.01;big
45;3086.60;19.20;892.52;big
46;3201.96;10.30;701.55;big
46;3263.78;11.20;705.80;big
46;3220.81;9.80;727.72;small
46;3232.13;9.80;753.33;small
46;3256.37;9.80;744.86;small
47;3345.48;12.20;788.49;big
47;3388.90;13.50;776.62;big
47;3445.00;10.50;772.87;big
47;3490.53;9.90;794.84;big
47;3402.12;10.00;710.87;small
48;2926.19;13.30;909.04;big
48;2915.88;10.80;874.90;big
48;2924.45;9.80;843.80;big
48;2967.78;10.70;867.03;small
49;2849.46;11.90;904.90;big
49;2815.28;10.00;855.92;big
49;2868.55;10.00;860.81;big
50;2705.06;10.30;808.39;big
50;2735.47;10.10;834.57;big
50;2762.13;10.10;850.48;big
50;2675.67;10.70;837.69;small
50;2743.00;10.00;785.24;small
51;2770.11;10.50;938.44;big
51;2758.84;10.20;914.98;small
52;2663.45;10.00;918.53;big
53;2607.87;15.10;853.45;big
53;2645.03;10.70;807.61;big
53;2609.83;12.20;797.97;big
53;2585.84;10.50;822.56;small
54;2604.93;10.10;914.53;big
55;2474.85;10.00;903.47;big
55;2489.90;10.00;881.24;big
55;2498.12;10.00;845.38;big
55;2525.70;11.40;863.35;big
55;2569.81;11.00;843.08;big
56;2512.17;10.40;945.20;big
56;2536.12;11.10;962.68;big
56;2566.33;10.10;979.16;big
57;2586.74;9.80;1024.31;big
57;2635.78;10.10;1041.02;big
57;2602.68;10.00;1044.51;small
58;2633.67;10.00;988.35;big
58;2661.80;10.00;1004.52;big
59;2719.28;10.20;1010.92;big
59;2729.18;11.00;978.53;big
60;2681.16;10.90;1049.28;big
60;2717.09;10.00;1052.32;big
60;2749.58;10.00;1052.74;big
61;2811.81;10.00;1063.61;big
61;2800.84;10.00;1026.14;big
61;2781.65;10.00;984.95;small
62;2836.78;10.30;985.86;big
62;2867.05;11.40;948.74;big
62;2907.87;11.00;961.08;big
63;2972.49;11.40;1010.99;big
63;2939.07;12.80;984.11;big
63;2984.01;12.90;968.19;big
64;2877.30;10.10;1060.57;big
64;2874.67;10.20;1028.26;big
65;2958.88;10.40;1054.36;big
65;2927.54;10.00;1078.59;big
66;3001.51;10.40;1056.04;big
66;3044.65;10.00;1051.04;small
67;3025.84;10.80;1027.64;big
67;3066.35;10.20;1017.93;big
67;3019.32;10.90;987.88;big
68;3062.90;10.20;979.65;big
68;3108.73;10.30;974.68;big
68;3090.32;10.10;1000.21;big
69;2803.95;10.00;1133.62;big
69;2788.61;10.00;1096.90;big
70;2747.88;13.30;1105.44;big
70;2717.44;11.90;1101.15;big
70;2690.17;11.10;1110.90;big
70;2683.30;10.50;1085.03;big
71;2844.44;10.00;1132.14;big
71;2892.69;10.00;1115.47;big
71;2850.07;10.20;1101.99;big
72;2783.69;20.10;1164.09;big
72;2749.78;10.00;1146.11;big
72;2737.16;17.40;1180.63;big
73;2699.87;15.90;1185.21;big
73;2672.39;10.20;1163.39;big
73;2695.82;10.00;1144.69;big
74;2624.83;9.50;1176.78;big
74;2659.62;10.30;1137.31;big
74;2615.00;10.00;1142.98;big
75;2620.41;10.70;1228.92;big
75;2661.86;14.60;1208.59;big
75;2636.82;15.60;1198.59;big
76;2592.48;10.80;1190.09;big
76;2594.31;10.00;1163.64;big
77;2521.07;10.00;1200.68;big
77;2551.75;10.00;1185.44;big
78;2562.11;11.20;1224.03;big
78;2568.00;11.20;1246.86;big
78;2583.37;11.40;1211.14;big
79;2479.32;9.80;1220.33;big
79;2502.90;10.00;1244.07;big
79;2530.35;10.00;1232.11;big
80;2480.34;10.00;1269.27;big
80;2490.81;9.80;1294.74;big
80;2496.95;10.00;1330.94;big
80;2529.00;10.40;1284.21;big
